
Learned word: show | phrase: show me brunch menu | top_intent: service | sub_intent: menu
Learned word: brunch | phrase: show me brunch menu | top_intent: service | sub_intent: menu
Learned word: brunch | phrase: i want brunch options | top_intent: service | sub_intent: menu
Learned word: options | phrase: i want brunch options | top_intent: service | sub_intent: menu
Learned word: brunch | phrase: brunch platter please | top_intent: service | sub_intent: menu
Learned word: platter | phrase: brunch platter please | top_intent: service | sub_intent: menu
Learned word: supper | phrase: do you have supper ideas | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: do you have supper ideas | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me entree choices | top_intent: service | sub_intent: menu
Learned word: entree | phrase: show me entree choices | top_intent: service | sub_intent: menu
Learned word: choices | phrase: show me entree choices | top_intent: service | sub_intent: menu
Learned word: beverage | phrase: i want beverage suggestions | top_intent: service | sub_intent: menu
Learned word: suggestions | phrase: i want beverage suggestions | top_intent: service | sub_intent: menu
Learned word: snacks | phrase: what snacks do you serve | top_intent: service | sub_intent: menu
Learned word: serve | phrase: what snacks do you serve | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me dinner picks | top_intent: service | sub_intent: menu
Learned word: dinner | phrase: show me dinner picks | top_intent: service | sub_intent: menu
Learned word: picks | phrase: show me dinner picks | top_intent: service | sub_intent: menu
Learned word: need | phrase: i need lunch ideas | top_intent: service | sub_intent: menu
Learned word: lunch | phrase: i need lunch ideas | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: i need lunch ideas | top_intent: service | sub_intent: menu
Learned word: desserts | phrase: what desserts can i get | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me brunch specials | top_intent: service | sub_intent: menu
Learned word: brunch | phrase: show me brunch specials | top_intent: service | sub_intent: menu
Learned word: specials | phrase: show me brunch specials | top_intent: service | sub_intent: menu
Learned word: appetizer | phrase: i want appetizer ideas | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: i want appetizer ideas | top_intent: service | sub_intent: menu
Learned word: pastry | phrase: what pastry choices do you have | top_intent: service | sub_intent: menu
Learned word: choices | phrase: what pastry choices do you have | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me supper selections | top_intent: service | sub_intent: menu
Learned word: supper | phrase: show me supper selections | top_intent: service | sub_intent: menu
Learned word: selections | phrase: show me supper selections | top_intent: service | sub_intent: menu
Learned word: need | phrase: i need breakfast options | top_intent: service | sub_intent: menu
Learned word: breakfast | phrase: i need breakfast options | top_intent: service | sub_intent: menu
Learned word: options | phrase: i need breakfast options | top_intent: service | sub_intent: menu
Learned word: meals | phrase: what meals are available | top_intent: service | sub_intent: menu
Learned word: available | phrase: what meals are available | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me chef picks | top_intent: service | sub_intent: menu
Learned word: chef | phrase: show me chef picks | top_intent: service | sub_intent: menu
Learned word: picks | phrase: show me chef picks | top_intent: service | sub_intent: menu
Learned word: smoothie | phrase: do you have smoothie choices | top_intent: service | sub_intent: menu
Learned word: choices | phrase: do you have smoothie choices | top_intent: service | sub_intent: menu
Learned word: noodle | phrase: i want noodle ideas | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: i want noodle ideas | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me salad options | top_intent: service | sub_intent: menu
Learned word: salad | phrase: show me salad options | top_intent: service | sub_intent: menu
Learned word: options | phrase: show me salad options | top_intent: service | sub_intent: menu
Learned word: burger | phrase: what burger choices do you have | top_intent: service | sub_intent: menu
Learned word: choices | phrase: what burger choices do you have | top_intent: service | sub_intent: menu
Learned word: need | phrase: i need pizza ideas | top_intent: service | sub_intent: menu
Learned word: pizza | phrase: i need pizza ideas | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: i need pizza ideas | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me dessert picks | top_intent: service | sub_intent: menu
Learned word: dessert | phrase: show me dessert picks | top_intent: service | sub_intent: menu
Learned word: picks | phrase: show me dessert picks | top_intent: service | sub_intent: menu
Learned word: entree | phrase: what entree specials are there | top_intent: service | sub_intent: menu
Learned word: specials | phrase: what entree specials are there | top_intent: service | sub_intent: menu
Learned word: brunch | phrase: i want brunch selections | top_intent: service | sub_intent: menu
Learned word: selections | phrase: i want brunch selections | top_intent: service | sub_intent: menu
Learned word: show | phrase: show me lunch picks | top_intent: service | sub_intent: menu
Learned word: lunch | phrase: show me lunch picks | top_intent: service | sub_intent: menu
Learned word: picks | phrase: show me lunch picks | top_intent: service | sub_intent: menu
Learned word: ideas | phrase: do you have drink ideas | top_intent: service | sub_intent: menu
Learned word: need | phrase: i need snack options | top_intent: service | sub_intent: menu
