Learned word: restaurant | phrase: when is the restaurant closing | top_intent: operation | sub_intent: False
Updated word: restaurant | phrase: where is the restaurant | top_intent: operation | sub_intent: False
Learned word: if | phrase: if I were to order a delivery to my house, how do I contact the restaurant | top_intent: service | sub_intent: delivery
Learned word: be | phrase: if I were to order a delivery to my house, how do I contact the restaurant | top_intent: service | sub_intent: delivery
Learned word: order | phrase: if I were to order a delivery to my house, how do I contact the restaurant | top_intent: service | sub_intent: delivery
Learned word: house | phrase: if I were to order a delivery to my house, how do I contact the restaurant | top_intent: service | sub_intent: delivery
Updated word: restaurant | phrase: if I were to order a delivery to my house, how do I contact the restaurant | top_intent: service | sub_intent: delivery
Updated word: restaurant | phrase: how do I call the restaurant if I want to contact them | top_intent: contact | sub_intent: False
Updated word: if | phrase: how do I call the restaurant if I want to contact them | top_intent: contact | sub_intent: False
Learned word: them | phrase: how do I call the restaurant if I want to contact them | top_intent: contact | sub_intent: False
Learned word: also | phrase: can I also order from here? | top_intent: service | sub_intent: delivery
Updated word: order | phrase: can I also order from here? | top_intent: service | sub_intent: delivery
Learned word: here | phrase: can I also order from here? | top_intent: service | sub_intent: delivery
Learned word: yes | phrase: yes, can I see the menu, I would like to order some dishes | top_intent: service | sub_intent: menu
Learned word: see | phrase: yes, can I see the menu, I would like to order some dishes | top_intent: service | sub_intent: menu
Updated word: order | phrase: yes, can I see the menu, I would like to order some dishes | top_intent: service | sub_intent: menu
Learned word: some | phrase: yes, can I see the menu, I would like to order some dishes | top_intent: service | sub_intent: menu
Updated word: order | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: beef | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: stew | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: happy | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: road | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: under | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: name | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: carson | phrase: I would like to order a beef stew to 1990 happy road under the name Carson | top_intent: service | sub_intent: reservation
Learned word: no | phrase: No I would like to order a delivery | top_intent: service | sub_intent: delivery
Updated word: order | phrase: No I would like to order a delivery | top_intent: service | sub_intent: delivery
Updated word: order | phrase: I would like to order a beef stew deliver to happy road for Carson | top_intent: service | sub_intent: delivery
Updated word: beef | phrase: I would like to order a beef stew deliver to happy road for Carson | top_intent: service | sub_intent: reservation
